fecha,provincia,departamento,carneros,ovejas,borregos,capones,cordero/as,total_ovinos,kilos_lana,finura,rinde,humedad,cant_lluvia,tem_max,temp_media,temp_min
2012-12-31,CHUBUT,BIEDMA,2740,52320,22319,25489,29517,132385,478116.0,19.3,55.68,58.4,46.4,18.1,12.4,6.7
2013-12-31,CHUBUT,BIEDMA,3925,70677,27227,33389,36961,172179,544941.0,19.8,55.0,64.7,226.5,19.9,14.2,8.8
2019-12-31,CHUBUT,BIEDMA,3606,70938,32085,33311,38587,178527,615918.15,19.57,55.61,54.1,295.5,18.7,13.6,8.7
2020-12-31,CHUBUT,BIEDMA,3084,82806,29134,33727,25394,174145,630450.0,19.1,58.71,58.3,191.4,20.5,14.6,9.2
2008-12-31,CHUBUT,CUSHAMEN,4578,86402,28200,19288,44487,182955,532399.05,19.83,62.1,52.35,304.5,19.85,12.2,4.1
2013-12-31,CHUBUT,CUSHAMEN,4751,85946,26255,17619,41451,176022,479996.0,20.04,57.47,58.22,769.59,18.9,11.88,5.49
2014-12-31,CHUBUT,CUSHAMEN,4198,77263,26512,18975,46290,173238,578184.0,19.74,63.35,59.1,640.4,17.03,10.46,4.62
2015-12-31,CHUBUT,CUSHAMEN,5377,99927,33404,23023,52959,214690,663392.1,19.78,63.34,48.54,756.57,18.92,11.99,5.68
2020-12-31,CHUBUT,CUSHAMEN,5385,124862,33570,28086,52545,244448,708750.0,19.5,64.01,46.48,131.4,25.22,15.62,5.92
2009-12-31,CHUBUT,FLORENTINO AMEGHINO,7970,131131,56083,47690,83896,326770,1188846.0,19.4,58.79,48.4,137.7,20.4,12.9,5.7
2014-12-31,CHUBUT,FLORENTINO AMEGHINO,8893,140928,56282,51459,89550,347112,948220.0,19.53,60.37,52.9,174.1,16.9,10.7,4.3
2016-12-31,CHUBUT,FLORENTINO AMEGHINO,7745,122098,55202,45482,78682,309209,902890.28,19.51,59.71,54.3,77.85,20.3,14.2,8.25
2017-12-31,CHUBUT,FLORENTINO AMEGHINO,8064,131186,54791,48486,85190,327717,1006091.19,19.38,60.08,52.6,336.93,20.0,13.8,8.1
2007-12-31,CHUBUT,FUTALEUFU,5129,81560,24740,17626,21341,150396,787200.0,20.82,62.99,62.3,327.2,16.45,9.5,2.35
2008-12-31,CHUBUT,FUTALEUFU,5639,90494,30119,24634,28237,179123,708480.0,21.22,63.71,13.1,614.8,18.85,11.05,2.7
2009-12-31,CHUBUT,FUTALEUFU,5155,85752,28633,24140,26350,170030,561536.0,21.2,61.95,67.8,386.47,15.23,8.73,2.37
2019-12-31,CHUBUT,FUTALEUFU,3775,56479,14981,14614,27926,117775,362747.0,20.74,63.24,61.5,272.6,20.97,13.0,4.4
2014-12-31,CHUBUT,GAIMAN,4936,90039,27772,26376,50701,199824,637321.0,20.39,55.06,57.6,137.93,20.47,13.07,5.83
2020-12-31,CHUBUT,GAIMAN,5295,197372,27275,46137,42834,318913,781650.0,20.88,54.45,49.7,57.87,23.14,13.9,5.3
2012-12-31,CHUBUT,LANGUIÑEO,8550,141153,52659,54014,45432,301808,988290.0,20.15,60.69,50.3,157.35,19.8,11.4,3.0
2016-12-31,CHUBUT,LANGUIÑEO,7588,112547,47178,49593,17445,234351,995400.0,21.27,60.55,66.4,124.87,14.5,7.77,1.5
2017-12-31,CHUBUT,PASO DE INDIOS,6908,117620,39207,47768,53235,264738,968941.08,20.08,53.55,43.2,66.7,21.6,14.2,7.1
2018-12-31,CHUBUT,PASO DE INDIOS,6906,125103,38540,47518,55938,274005,948057.3,20.06,54.07,38.8,238.6,26.6,18.0,9.2
2000-12-31,CHUBUT,RAWSON,2355,57320,20632,24405,18609,123321,258400.0,17.66,61.53,42.1,212.6,23.0,14.1,5.5
2004-12-31,CHUBUT,RAWSON,2769,43180,14374,16714,21962,98999,341546.55,19.8,56.65,58.3,143.9,22.5,12.9,4.9
2018-12-31,CHUBUT,RAWSON,3558,68936,20065,19143,21294,132996,212800.0,19.84,62.17,55.9,93.2,21.7,13.9,6.0
2019-12-31,CHUBUT,RAWSON,2198,33686,11357,13155,16450,76846,253591.8,20.2,60.58,55.8,170.8,21.4,13.7,5.9
2020-12-31,CHUBUT,RAWSON,2273,74096,18058,19267,22102,135796,205200.0,19.57,61.66,54.5,92.0,22.1,14.4,6.7
2009-12-31,CHUBUT,RIO SENGUERR,16103,273190,104009,92579,139943,625824,2360088.0,20.21,57.8,55.75,126.2,15.93,9.77,2.9
2010-12-31,CHUBUT,RIO SENGUERR,14701,246297,97591,82269,126654,567512,2188059.0,20.24,57.57,59.15,176.43,14.57,8.5,2.47
2011-12-31,CHUBUT,RIO SENGUERR,14388,241283,93912,80243,122691,552517,2146504.0,20.14,58.89,58.7,123.17,15.8,9.4,3.47
2013-12-31,CHUBUT,SARMIENTO,5978,85638,26288,30644,32877,181425,663376.0,20.73,49.13,51.2,88.9,20.15,13.6,7.5
2014-12-31,CHUBUT,SARMIENTO,5269,80123,27608,32012,37346,182358,694471.0,19.92,48.21,48.9,69.45,20.35,13.95,8.15
2017-12-31,CHUBUT,SARMIENTO,5633,78931,26286,31383,33832,176065,635594.65,20.12,48.52,62.83,196.47,13.9,8.87,3.77
2008-12-31,CHUBUT,TEHUELCHES,14960,221763,107149,126501,109720,580093,3045600.0,19.15,61.75,71.9,340.6,13.6,7.6,1.7
2009-12-31,CHUBUT,TEHUELCHES,17055,241352,99948,130175,100704,589234,2413920.0,18.62,61.43,77.0,295.27,10.83,5.33,0.47
2015-12-31,CHUBUT,TELSEN,4477,76246,29205,29821,35267,175016,638808.4,20.0,53.06,46.73,146.1,17.77,11.6,5.4
2016-12-31,CHUBUT,TELSEN,4896,80262,26471,39243,20290,171162,637000.0,20.2,53.55,50.8,273.33,17.47,11.57,5.77
2017-12-31,CHUBUT,TELSEN,4640,77556,27296,36570,17750,163812,637000.0,19.11,56.01,47.17,220.03,16.6,10.93,5.03
